pin_id,existing_amazon_url,suggested_website_url
"1102326446329743314","https://www.amazon.de/dp/B08R1DZLTL/?tag=mrtbuildsmrtpin-21","https://pinatelier.org/balkon-garten/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=wohnideen&utm_content=1102326446329743314#pin-1102326446329743314"
"1102326446329737690","https://www.amazon.de/dp/B09DGBJN2C/?tag=mrtbuildsmrtpin-21","https://pinatelier.org/kueche/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=wohnideen&utm_content=1102326446329737690#pin-1102326446329737690"
"1102326446329728046","https://www.amazon.de/dp/B0BLRJ4R8F/?tag=mrtbuildsmrtpin-21","https://pinatelier.org/ordnung/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=wohnideen&utm_content=1102326446329728046#pin-1102326446329728046"
"1102326446329668045","https://www.amazon.de/dp/B0D9BN8FFN/?tag=mrtbuildsmrtpin-21","https://pinatelier.org/licht/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=wohnideen&utm_content=1102326446329668045#pin-1102326446329668045"
"1102326446329654184","https://www.amazon.de/dp/B08GM8JQX2/?tag=mrtbuildsmrtpin-21","https://pinatelier.org/kueche/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=wohnideen&utm_content=1102326446329654184#pin-1102326446329654184"
"1102326446329651396","https://www.amazon.de/dp/B0CNKKCMZ3/?tag=mrtbuildsmrtpin-21","https://pinatelier.org/ordnung/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=wohnideen&utm_content=1102326446329651396#pin-1102326446329651396"
"1102326446329597549","https://www.amazon.de/dp/B0FF9NDX8Y/?tag=mrtbuildsmrtpin-21","https://pinatelier.org/lifestyle/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=wohnideen&utm_content=1102326446329597549#pin-1102326446329597549"
"1102326446329595316","https://www.amazon.de/dp/B07X9MNF8V/?tag=mrtbuildsmrtpin-21","https://pinatelier.org/kueche/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=wohnideen&utm_content=1102326446329595316#pin-1102326446329595316"
"1102326446329579166","https://www.amazon.de/dp/B0CFPXBJ9Y/?tag=mrtbuildsmrtpin-21","https://pinatelier.org/lifestyle/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=wohnideen&utm_content=1102326446329579166#pin-1102326446329579166"
"1102326446329515559","https://www.amazon.de/dp/B0935DN1BN/?tag=mrtbuildsmrtpin-21","https://pinatelier.org/lifestyle/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=wohnideen&utm_content=1102326446329515559#pin-1102326446329515559"
"1102326446329495765","https://www.amazon.de/dp/B09B8X9RGM/?tag=mrtbuildsmrtpin-21","https://pinatelier.org/wohnen/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=wohnideen&utm_content=1102326446329495765#pin-1102326446329495765"
"1102326446329484946","https://www.amazon.de/dp/B08X6DF7M5/?tag=mrtbuildsmrtpin-21","https://pinatelier.org/lifestyle/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=wohnideen&utm_content=1102326446329484946#pin-1102326446329484946"
"1102326446329431564","https://www.amazon.de/dp/B0BNDLND3Y/?tag=mrtbuildsmrtpin-21","https://pinatelier.org/licht/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=wohnideen&utm_content=1102326446329431564#pin-1102326446329431564"
"1102326446329410516","https://www.amazon.de/dp/B07Y225D1H/?tag=mrtbuildsmrtpin-21","https://pinatelier.org/lifestyle/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=wohnideen&utm_content=1102326446329410516#pin-1102326446329410516"
"1102326446329401014","https://www.amazon.de/dp/B08PKQVBH8/?tag=mrtbuildsmrtpin-21","https://pinatelier.org/kueche/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=wohnideen&utm_content=1102326446329401014#pin-1102326446329401014"
"1102326446329343304","https://www.amazon.de/dp/B09134V69J/?tag=mrtbuildsmrtpin-21","https://pinatelier.org/lifestyle/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=wohnideen&utm_content=1102326446329343304#pin-1102326446329343304"
"1102326446329336813","https://www.amazon.de/dp/B08HM4133L/?tag=mrtbuildsmrtpin-21","https://pinatelier.org/lifestyle/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=wohnideen&utm_content=1102326446329336813#pin-1102326446329336813"
"1102326446329326354","https://www.amazon.de/dp/B0DCZDNYGY/?tag=mrtbuildsmrtpin-21","https://pinatelier.org/lifestyle/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=wohnideen&utm_content=1102326446329326354#pin-1102326446329326354"
"1102326446329247112","https://www.amazon.de/dp/B0BF9RTK3F/?tag=mrtbuildsmrtpin-21","https://pinatelier.org/kueche/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=wohnideen&utm_content=1102326446329247112#pin-1102326446329247112"
"1102326446329241777","https://www.amazon.de/dp/B07DLR183B/?tag=mrtbuildsmrtpin-21","https://pinatelier.org/kueche/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=wohnideen&utm_content=1102326446329241777#pin-1102326446329241777"
"1102326446329240829","https://www.amazon.de/dp/B0GGC6ZW2S/?tag=mrtbuildsmrtpin-21","https://pinatelier.org/ordnung/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=wohnideen&utm_content=1102326446329240829#pin-1102326446329240829"
"1102326446329174043","https://www.amazon.de/dp/B0C3M23PD8?tag=mrtbuildsmrtpin-21","https://pinatelier.org/kueche/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=wohnideen&utm_content=1102326446329174043#pin-1102326446329174043"
"1102326446329167603","https://www.amazon.de/dp/B0BYKB9X4W?tag=mrtbuildsmrtpin-21","https://pinatelier.org/ordnung/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=wohnideen&utm_content=1102326446329167603#pin-1102326446329167603"
"1102326446329158011","https://www.amazon.de/dp/B0C1CT6BQT?tag=mrtbuildsmrtpin-21","https://pinatelier.org/ordnung/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=wohnideen&utm_content=1102326446329158011#pin-1102326446329158011"
"1102326446329095733","https://www.amazon.de/Juskys-Eisw%C3%BCrfelmaschine-IceOracle-Eisw%C3%BCrfelbereiter-Eisw%C3%BCrfelbeh%C3%A4lter/dp/B0D5QMJBQH?tag=mrtbuildsmrtpin-21","https://pinatelier.org/kueche/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=wohnideen&utm_content=1102326446329095733#pin-1102326446329095733"
"1102326446329081951","https://www.amazon.de/Ainiv-Leuchtbrille-Aufladbar-Kabellos-Sonnenbrille/dp/B09JZ86991?tag=mrtbuildsmrtpin-21","https://pinatelier.org/lifestyle/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=wohnideen&utm_content=1102326446329081951#pin-1102326446329081951"
"1102326446329081593","https://www.amazon.de/dp/B0DXKZGCH4/?tag=mrtbuildsmrtpin-21","https://pinatelier.org/lifestyle/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=wohnideen&utm_content=1102326446329081593#pin-1102326446329081593"
"1102326446329079465","https://www.amazon.de/Relaxdays-Brotdose-Edelstahl-auslaufsicher-luftdicht/dp/B0CNWKMFBQ?tag=mrtbuildsmrtpin-21","https://pinatelier.org/kueche/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=wohnideen&utm_content=1102326446329079465#pin-1102326446329079465"
"1102326446329077646","https://www.amazon.de/dp/B0DRG4B4MJ/?tag=mrtbuildsmrtpin-21","https://pinatelier.org/kueche/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=wohnideen&utm_content=1102326446329077646#pin-1102326446329077646"
"1102326446329021988","https://www.amazon.de/dp/B0D4TQCGTB/?tag=mrtbuildsmrtpin-21","https://pinatelier.org/wohnen/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=wohnideen&utm_content=1102326446329021988#pin-1102326446329021988"
"1102326446329014340","https://www.amazon.de/Gritin-Wiederaufladbare-Farbtemperatur-Stufenlose-Helligkeit/dp/B0BGN9R72N/?tag=mrtbuildsmrtpin-21","https://pinatelier.org/licht/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=wohnideen&utm_content=1102326446329014340#pin-1102326446329014340"
"1102326446328926829","https://www.amazon.de/GR%C3%84WE-Kaffeebereiter-Glaskaraffe-Borosilikatglas-Edelstahl-Filter/dp/B0CJ52WZC5/?tag=mrtbuildsmrtpin-21","https://pinatelier.org/kueche/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=wohnideen&utm_content=1102326446328926829#pin-1102326446328926829"
"1102326446328913189","https://www.amazon.de/homent-Wochenplaner-undatiert-Wochen%C3%BCbersicht-Minimalistischer/dp/B0FKPPQCWS/?tag=mrtbuildsmrtpin-21","https://pinatelier.org/ordnung/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=wohnideen&utm_content=1102326446328913189#pin-1102326446328913189"
"1102326446328903399","https://www.amazon.de/Gro%C3%9F-Halloween-Ausstechformen-Set-Angstkatze/dp/B07VKB93T5/?tag=mrtbuildsmrtpin-21","https://pinatelier.org/kueche/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=wohnideen&utm_content=1102326446328903399#pin-1102326446328903399"
"1102326446328846691","https://www.amazon.de/dp/B00NIDQ5Y6/?tag=mrtbuildsmrtpin-21","https://pinatelier.org/lifestyle/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=wohnideen&utm_content=1102326446328846691#pin-1102326446328846691"
"1102326446328824981","https://www.amazon.de/dp/B0C9T6MMMD/?tag=mrtbuildsmrtpin-21","https://pinatelier.org/wohnen/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=wohnideen&utm_content=1102326446328824981#pin-1102326446328824981"
